Fecha;Locación;Total CF Programandas;Total CF Rechazadas;Meta;Alerta;End;% Rechazo
;88 AYA CAMANA;1690471.97;10960.66;0.00%;0.00%;0.00%;0.65%
;40 AYA CHALA;1244385.36;10059.66;0.00%;0.00%;0.00%;0.81%
2025-06-23;06 AYA EL PEDREGAL;3635.37;42.83;0.88%;0.44%;1.76%;1.18%
2025-06-23;88 AYA CAMANA;1452.3;14.0;0.57%;0.29%;1.14%;0.96%
2025-06-23;40 AYA CHALA;1776.63;31.0;0.31%;0.16%;0.62%;1.74%
;38 AYA ATICO;422363.98;1250.08;0.00%;0.00%;0.00%;0.30%
;06 AYA EL PEDREGAL;1351483.16;14249.17;0.00%;0.00%;0.00%;1.05%
2025-06-23;38 AYA ATICO;408.78;0.0;0.24%;0.12%;0.48%;0.00%
